Date,New Cases,Lockdown,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,RH_13,RH_14
19-03-2020,0.0,0.0,29.0,28.0,27.0,24.0,22.0,25.0,28.0,26.0,24.0,22.0,22.0,23.0,22.0,23.0,24.0,28.0,32.0,35.0,38.0,37.0,47.0,25.0,29.0,39.0,33.0,36.0,46.0,59.0,63.0,55.0
20-03-2020,0.0,0.0,28.0,29.0,28.0,27.0,24.0,22.0,25.0,28.0,26.0,24.0,22.0,22.0,23.0,22.0,23.0,23.0,28.0,32.0,35.0,38.0,37.0,47.0,25.0,29.0,39.0,33.0,36.0,46.0,59.0,63.0
21-03-2020,0.0,0.0,28.0,28.0,29.0,28.0,27.0,24.0,22.0,25.0,28.0,26.0,24.0,22.0,22.0,23.0,22.0,35.0,23.0,28.0,32.0,35.0,38.0,37.0,47.0,25.0,29.0,39.0,33.0,36.0,46.0,59.0
22-03-2020,0.0,0.0,30.0,28.0,28.0,29.0,28.0,27.0,24.0,22.0,25.0,28.0,26.0,24.0,22.0,22.0,23.0,33.0,35.0,23.0,28.0,32.0,35.0,38.0,37.0,47.0,25.0,29.0,39.0,33.0,36.0,46.0
23-03-2020,0.0,0.0,27.0,30.0,28.0,28.0,29.0,28.0,27.0,24.0,22.0,25.0,28.0,26.0,24.0,22.0,22.0,27.0,33.0,35.0,23.0,28.0,32.0,35.0,38.0,37.0,47.0,25.0,29.0,39.0,33.0,36.0
24-03-2020,0.0,0.0,30.0,27.0,30.0,28.0,28.0,29.0,28.0,27.0,24.0,22.0,25.0,28.0,26.0,24.0,22.0,33.0,27.0,33.0,35.0,23.0,28.0,32.0,35.0,38.0,37.0,47.0,25.0,29.0,39.0,33.0
25-03-2020,0.0,1.0,30.0,30.0,27.0,30.0,28.0,28.0,29.0,28.0,27.0,24.0,22.0,25.0,28.0,26.0,24.0,31.0,33.0,27.0,33.0,35.0,23.0,28.0,32.0,35.0,38.0,37.0,47.0,25.0,29.0,39.0
26-03-2020,0.0,1.0,29.0,30.0,30.0,27.0,30.0,28.0,28.0,29.0,28.0,27.0,24.0,22.0,25.0,28.0,26.0,35.0,31.0,33.0,27.0,33.0,35.0,23.0,28.0,32.0,35.0,38.0,37.0,47.0,25.0,29.0
27-03-2020,0.0,1.0,23.0,29.0,30.0,30.0,27.0,30.0,28.0,28.0,29.0,28.0,27.0,24.0,22.0,25.0,28.0,63.0,35.0,31.0,33.0,27.0,33.0,35.0,23.0,28.0,32.0,35.0,38.0,37.0,47.0,25.0
28-03-2020,0.0,1.0,26.0,23.0,29.0,30.0,30.0,27.0,30.0,28.0,28.0,29.0,28.0,27.0,24.0,22.0,25.0,43.0,63.0,35.0,31.0,33.0,27.0,33.0,35.0,23.0,28.0,32.0,35.0,38.0,37.0,47.0
29-03-2020,0.0,1.0,27.0,26.0,23.0,29.0,30.0,30.0,27.0,30.0,28.0,28.0,29.0,28.0,27.0,24.0,22.0,31.0,43.0,63.0,35.0,31.0,33.0,27.0,33.0,35.0,23.0,28.0,32.0,35.0,38.0,37.0
30-03-2020,1.0,1.0,28.0,27.0,26.0,23.0,29.0,30.0,30.0,27.0,30.0,28.0,28.0,29.0,28.0,27.0,24.0,27.0,31.0,43.0,63.0,35.0,31.0,33.0,27.0,33.0,35.0,23.0,28.0,32.0,35.0,38.0
31-03-2020,0.0,1.0,28.0,28.0,27.0,26.0,23.0,29.0,30.0,30.0,27.0,30.0,28.0,28.0,29.0,28.0,27.0,22.0,27.0,31.0,43.0,63.0,35.0,31.0,33.0,27.0,33.0,35.0,23.0,28.0,32.0,35.0
01-04-2020,1.0,1.0,32.0,28.0,28.0,27.0,26.0,23.0,29.0,30.0,30.0,27.0,30.0,28.0,28.0,29.0,28.0,24.0,22.0,27.0,31.0,43.0,63.0,35.0,31.0,33.0,27.0,33.0,35.0,23.0,28.0,32.0
02-04-2020,5.0,1.0,30.0,32.0,28.0,28.0,27.0,26.0,23.0,29.0,30.0,30.0,27.0,30.0,28.0,28.0,29.0,22.0,24.0,22.0,27.0,31.0,43.0,63.0,35.0,31.0,33.0,27.0,33.0,35.0,23.0,28.0
03-04-2020,3.0,1.0,28.0,30.0,32.0,28.0,28.0,27.0,26.0,23.0,29.0,30.0,30.0,27.0,30.0,28.0,28.0,17.0,22.0,24.0,22.0,27.0,31.0,43.0,63.0,35.0,31.0,33.0,27.0,33.0,35.0,23.0
04-04-2020,24.0,1.0,29.0,28.0,30.0,32.0,28.0,28.0,27.0,26.0,23.0,29.0,30.0,30.0,27.0,30.0,28.0,16.0,17.0,22.0,24.0,22.0,27.0,31.0,43.0,63.0,35.0,31.0,33.0,27.0,33.0,35.0
05-04-2020,3.0,1.0,32.0,29.0,28.0,30.0,32.0,28.0,28.0,27.0,26.0,23.0,29.0,30.0,30.0,27.0,30.0,16.0,16.0,17.0,22.0,24.0,22.0,27.0,31.0,43.0,63.0,35.0,31.0,33.0,27.0,33.0
06-04-2020,2.0,1.0,32.0,32.0,29.0,28.0,30.0,32.0,28.0,28.0,27.0,26.0,23.0,29.0,30.0,30.0,27.0,17.0,16.0,16.0,17.0,22.0,24.0,22.0,27.0,31.0,43.0,63.0,35.0,31.0,33.0,27.0
07-04-2020,13.0,1.0,34.0,32.0,32.0,29.0,28.0,30.0,32.0,28.0,28.0,27.0,26.0,23.0,29.0,30.0,30.0,17.0,17.0,16.0,16.0,17.0,22.0,24.0,22.0,27.0,31.0,43.0,63.0,35.0,31.0,33.0
08-04-2020,2.0,1.0,31.0,34.0,32.0,32.0,29.0,28.0,30.0,32.0,28.0,28.0,27.0,26.0,23.0,29.0,30.0,18.0,17.0,17.0,16.0,16.0,17.0,22.0,24.0,22.0,27.0,31.0,43.0,63.0,35.0,31.0
09-04-2020,19.0,1.0,30.0,31.0,34.0,32.0,32.0,29.0,28.0,30.0,32.0,28.0,28.0,27.0,26.0,23.0,29.0,16.0,18.0,17.0,17.0,16.0,16.0,17.0,22.0,24.0,22.0,27.0,31.0,43.0,63.0,35.0
10-04-2020,5.0,1.0,32.0,30.0,31.0,34.0,32.0,32.0,29.0,28.0,30.0,32.0,28.0,28.0,27.0,26.0,23.0,18.0,16.0,18.0,17.0,17.0,16.0,16.0,17.0,22.0,24.0,22.0,27.0,31.0,43.0,63.0
11-04-2020,4.0,1.0,36.0,32.0,30.0,31.0,34.0,32.0,32.0,29.0,28.0,30.0,32.0,28.0,28.0,27.0,26.0,17.0,18.0,16.0,18.0,17.0,17.0,16.0,16.0,17.0,22.0,24.0,22.0,27.0,31.0,43.0
12-04-2020,0.0,1.0,34.0,36.0,32.0,30.0,31.0,34.0,32.0,32.0,29.0,28.0,30.0,32.0,28.0,28.0,27.0,17.0,17.0,18.0,16.0,18.0,17.0,17.0,16.0,16.0,17.0,22.0,24.0,22.0,27.0,31.0
